state,account_length,area_code,phone_number,intl_plan,voice_mail_plan,total_day_calls,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churned
KS,128,415, 382-4657,no,yes,110,197.4,99,16.78,244.7,91,11.01,10.0,3,2.7,1,False
OH,107,415, 371-7191,no,yes,123,195.5,103,16.62,254.4,103,11.45,13.7,3,3.7,1,False
NJ,137,415, 358-1921,no,no,114,121.2,110,10.3,162.6,104,7.32,12.2,5,3.29,0,False
OH,84,408, 375-9999,yes,no,71,61.9,88,5.26,196.9,89,8.86,6.6,7,1.78,2,False
OK,75,415, 330-6626,yes,no,113,148.3,122,12.61,186.9,121,8.41,10.1,3,2.73,3,False
AL,118,510, 391-8027,yes,no,98,220.6,101,18.75,203.9,118,9.18,6.3,6,1.7,0,False
MA,121,510, 355-9993,no,yes,88,348.5,108,29.62,212.6,118,9.57,7.5,7,2.03,3,False
MO,147,415, 329-9001,yes,no,79,103.1,94,8.76,211.8,96,9.53,7.1,6,1.92,0,False
LA,117,408, 335-4719,no,no,97,351.6,80,29.89,215.8,90,9.71,8.7,4,2.35,1,False
WV,141,415, 330-8173,yes,yes,84,222.0,111,18.87,326.4,97,14.69,11.2,5,3.02,0,False
IN,65,415, 329-6603,no,no,137,228.5,83,19.42,208.8,111,9.4,12.7,6,3.43,4,True
RI,74,415, 344-9403,no,no,127,163.4,148,13.89,196.0,94,8.82,9.1,5,2.46,0,False
IA,168,408, 363-1107,no,no,96,104.9,71,8.92,141.1,128,6.35,11.2,2,3.02,1,False
MT,95,510, 394-8006,no,no,88,247.6,75,21.05,192.3,115,8.65,12.3,5,3.32,3,False
IA,62,415, 366-9238,no,no,70,307.2,76,26.11,203.0,99,9.14,13.1,6,3.54,4,False
NY,161,415, 351-7269,no,no,67,317.8,97,27.01,160.6,128,7.23,5.4,9,1.46,4,True
ID,85,408, 350-8884,no,yes,139,280.9,90,23.88,89.3,75,4.02,13.8,4,3.73,1,False
VT,93,510, 386-2923,no,no,114,218.2,111,18.55,129.6,121,5.83,8.1,3,2.19,3,False
VA,76,510, 356-2992,no,yes,66,212.8,65,18.09,165.7,108,7.46,10.0,5,2.7,1,False
TX,73,415, 373-2782,no,no,90,159.5,88,13.56,192.8,74,8.68,13.0,2,3.51,1,False
